표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7010620003","010620","에이치디현대미포보통주","HD현대미포","HD HYUNDAI MIPO","1983/12/20","KOSPI","주권",,"보통주","5000","39942149"
"KR7267250009","267250","에이치디현대보통주","HD현대","HD HYUNDAI","2017/05/10","KOSPI","주권",,"보통주","1000","78993085"
"KR7322000001","322000","에이치디현대에너지솔루션보통주","HD현대에너지솔루션","HD HYUNDAI ENERGY SOLUTIONS CO.,LTD.","2019/11/19","KOSPI","주권",,"보통주","5000","11200000"
"KR7042670000","042670","에이치디현대인프라코어보통주","HD현대인프라코어","HD Hyundai Infracore","2001/02/02","KOSPI","주권",,"보통주","1000","199603453"
"KR7267260008","267260","에이치디현대일렉트릭보통주","HD현대일렉트릭","HD HYUNDAI ELECTRIC","2017/05/10","KOSPI","주권",,"보통주","5000","36047135"
"KR7329180004","329180","에이치디현대중공업보통주","HD현대중공업","HD HYUNDAI HEAVY INDUSTRIES","2021/09/17","KOSPI","주권",,"보통주","5000","88773116"
"KR7297890006","297890","에이치비솔루션","HB솔루션","HB SOLUTION","2020/06/22","KOSDAQ","주권","우량기업부","보통주","500","73114318"
"KR7440290005","440290","에이치비인베스트먼트","HB인베스트먼트","HB Investment, Inc.","2024/01/25","KOSDAQ","주권","중견기업부","보통주","500","27107010"
"KR7078150000","078150","에이치비테크놀러지","HB테크놀러지","HB Technology CO.,LTD.","2004/12/08","KOSDAQ","주권","우량기업부","보통주","500","92715916"
"KR7072990005","072990","에이치시티","에이치시티","HCT","2016/10/17","KOSDAQ","주권","우량기업부","보통주","500","7287341"
"KR7036640001","036640","에이치알에스","HRS","HRS Co., Ltd","2000/05/30","KOSDAQ","주권","우량기업부","보통주","500","16354800"
"KR7044990000","044990","에이치엔에스하이텍","에이치엔에스하이텍","H&S","2015/12/10","KONEX","주권","일반기업부","보통주","500","7511064"
"KR7028300002","028300","에이치엘비","HLB","HLB INC.","1996/07/27","KOSDAQ","주권","중견기업부","보통주","500","130830364"
"KR7003580008","003580","에이치엘비글로벌보통주","HLB글로벌","HLB GLOBAL Co., Ltd.","1990/03/23","KOSPI","주권",,"보통주","500","46679897"
"KR7278650007","278650","에이치엘비바이오스텝","HLB바이오스텝","HLBbioStep","2019/11/27","KOSDAQ","주권","우량기업부","보통주","100","86730589"
"KR7343090007","343090","에이치엘비사이언스","HLB사이언스","HLB SCIENCE","2020/04/24","KONEX","주권","일반기업부","보통주","500","16440407"
"KR7067630004","067630","에이치엘비생명과학","HLB생명과학","HLB Life Science","2008/11/25","KOSDAQ","주권","중견기업부","보통주","500","107644871"
"KR7047920004","047920","에이치엘비제약","HLB제약","HLB PHARMACEUTICAL","2015/12/21","KOSDAQ","주권","기술성장기업부","보통주","500","31766701"
