시장구분,업종명,시가총액,종목코드,날짜,주식 종류,PER,PBR,PCR,PSR
KOSPI,화학,69903116170,002360,20240329,보통주,-27.61848,0.77852,16.70917,0.5315
KOSPI,철강금속,297050002640,009160,20240329,보통주,-39.78091,0.3661,4.01393,0.42192
KOSPI,운수장비,56177632800,123700,20240329,보통주,3.22273,0.29887,3.30653,0.28522
KOSPI,유통업,57197250640,025530,20240329,보통주,5.78656,0.32379,2.47779,0.27425
KOSPI,기타금융,13073221559400,034730,20240329,보통주,-16.95894,0.47598,1.16028,0.10038
KOSPI,화학,4210954737600,011790,20240329,보통주,-12.45171,2.18399,-14.61548,2.18422
KOSPI,유통업,1393766844000,018670,20240329,보통주,4.31905,0.51463,2.21326,0.19537
KOSPI,유통업,1305539621800,001740,20240329,보통주,-1933.55075,0.53791,10.78501,0.15051
KOSPI,기타금융,830334791000,006120,20240329,보통주,4.18529,0.25993,1.33113,0.08944
KOSPI,기타금융,42791332500,006125,20240329,우선주,4.18529,0.25993,1.33113,0.08944
KOSPI,서비스업,208353186000,210980,20240329,보통주,6.92298,0.93665,3.78246,1.48769
KOSPI,서비스업,1107543983900,395400,20240329,보통주,295.03553,0.86696,8.63714,20.10173
KOSPI,의약품,4709541075000,302440,20240329,보통주,247.72235,3.24652,188.39126,14.96215
KOSPI,서비스업,7181325025000,326030,20240329,보통주,-239.11098,27.716,-83.46652,22.15508
KOSPI,기타금융,10979501844000,402340,20240329,보통주,-5.75682,0.46854,27.88083,3.25468
KOSPI,전기전자,5218983734400,361610,20240329,보통주,68.47026,2.33258,44.89603,8.66018
KOSPI,철강금속,778421719200,100090,20240329,보통주,18.9967,1.6848,-7.90028,1.17931
KOSPI,기타금융,80108102500,03473K,20240329,우선주,-16.95894,0.47598,1.16028,0.10038
KOSPI,화학,11105328440000,096770,20240329,보통주,53.47232,0.60955,2.55264,0.17729
KOSPI,화학,101497033800,096775,20240329,우선주,53.47232,0.60955,2.55264,0.17729
KOSPI,건설업,328192582800,475150,20240329,보통주,,,,
KOSPI,증권,289225184652,001510,20240329,보통주,119.71965,0.42089,1.4206,0.26688
KOSPI,증권,8920531920,001515,20240329,우선주,119.71965,0.42089,1.4206,0.26688
KOSPI,화학,1074910680900,285130,20240329,보통주,32.70002,0.60957,8.92447,0.74541
KOSPI,화학,59126240550,28513K,20240329,우선주,32.70002,0.60957,8.92447,0.74541
KOSPI,통신업,11276477782500,017670,20240329,보통주,10.02508,0.93426,2.21611,0.62263
KOSPI,전기전자,133224432795000,000660,20240329,보통주,-11.3046,1.81988,24.07848,3.14391
KOSPI,운수장비,579261981740,003570,20240329,보통주,9.66769,0.46022,4.39606,0.98536
KOSPI,운수장비,663890374400,064960,20240329,보통주,7.26281,0.59949,6.54327,0.55595
KOSPI,기계,229330021050,100840,20240329,보통주,7.26585,0.57168,50.34547,0.51292
KOSPI,기타금융,382326126700,036530,20240329,보통주,3.22731,0.23387,1.33875,0.1487
